text,label
HOUSE RENTAL AGREEMENT,none
"Rental Agreement made on Jan 10, 2011, between Namashivayam, Plat No-182, Door No 16 New/10 Old, 24th East Street, Kamaraj Nagar, Thiruvanmiyur, Chennai (hereinafter referred to as landlord) of the house and Mrs.Thenmalar, W/O Xavier, Kottaikadu (PO), Vadakadu (Via), Pudukkottai (Dt) (hereinafter referred to as tenant) of the First floor portion of the building.",arg_on
WHERE IT IS AGREED AND DECLARED AS FOLLOWS:,none
"The Landlord agrees to let out and the tenant agrees to take on rent the First floor portion of the building Plat No-182, Door No 16 New/10 Old, 24th East Street, Kamaraj Nagar, Thiruvanmiyur along with electrical and sanitary fittings and other accessories fittings and structures (hereinafter called the premises) from Jan 10 2011 at the monthly rent of Rs.', '14500 (Fourteen thousand and five hundred rupees) being payable on or before 5th of every month to the Landlord.', 'The period of this agreement shall be twelve months w.e.f Jan 10, 2011.",arg_det
"The tenant has paid Rs.', '100000(0ne lack Rupees) as advance amount for the above building and the landlord shall pay this said advance without interest to the tenant at the time of vacating the premises or within 12 months of commencement of this agreement whichever is earlier.",arg_val
At the termination of the period of tenancy the tenant agrees to surrender to the Landlord the vacant possession of the premises without raising any objection.,none
This rental agreement can be terminated at any time by three months notice on either side and on such termination the tenant shall surrender the vacant possession of the premises to the Landlord.,arg_notice
"If for by any reason the tenant occupies the building for a period that includes part of a month, it is agreed that the rent will be charged on a pro-rated basis for that month.",none
"The landlord shall pay all existing and future taxes, rates and assessments in respect of the lease hold including the municipal or other tax assessed by a local authority on the value of the building or annual letting value of the building and all other rates, taxes and assessments levied by any authority whatsoever.",none
The tenant shall pay the electricity and water supply charges for the period of time he occupies the premises.,none
"The tenant agrees to leave at the end of tenancy the premises in good condition as they are now, subject to reasonable wear and tear.",none
The tenant also agreed not to let out the building or a portion of it to anybody else.,none
The tenant shall not commit any act of waste in the premises.,none
11 The tenant also agrees to make any maintenance on the building as mutually agreed upon by the tenant and the landlord and the said expenses shall be adjusted against the rent amount due to the landlord.,none
12.The landlord shall retain the original of this agreement and the tenant shall retain its duplicate.,none
"WITNESS WHERE OF Namashivayam , the landlord and Mrs.Thenmalar, the tenant have affixed their signatures on Jan 10, 2011.",arg_till
(Land Lord),none
(Tenant),none
Witness:,none
ROOM RENTAL AGREEMENT,none
"This is a legally binding agreement.', 'It is intended to promote household harmony by clarifying die expectations and responsibilities of the homeowner or Principal Tenant (Landlords) and Tenant when they share the same home.', 'The term “Landlord” refers to either homeowner or Principal Tenant.",none
"Landlord shall provide a copy of this executed (signed) document to the Tenant, as required by law.",none
Terms,none
Length of Agreement: Month-to-Month,none
"Either party may cancel or change terms of this agreement upon thirty (30) days WRITTEN notice.', 'The notice period may be lengthened or shortened by WRITTEN agreement, but no less than 7 days.",arg_notice
Rent,none
